Medicine, Cost, Composition, Dosage
Metformin,46, Clonazepam, 10-40mg once/day
Rosiglitazone,82, Venlafaxine Hydrochloride, 75mg once/day
Acarbose,41, Acetylsalicylic Acid, 120mg before each meal
Acarbose,66, Losartan Potassium, 0.5-4mg before each meal
Haloperidol,35, Losartan Potassium, 5-10mg 2-3 times/day
Furosemide,72, Felodipine, 5-20mg once/day
Amlodipine,31, Omeprazole, 30-120mg 2-3 times/day
Metoprolol,54, Gabapentin, 12.5-150mg 3 times/day
Pioglitazone,74, Chlorpromazine Hydrochloride, 6-12mg once/day
Pregabalin,76, Ramipril, 325-650mg every 4-6 hours (up to 4g/day)
Chlorpromazine,79, Paliperidone, 75mg once/day
Enalapril,37, Rosiglitazone Maleate, 12.5-150mg 3 times/day
Metoprolol,64, Lisinopril Dihydrate, 400-600mg every 4-6 hours (up to 3.2g/day)
Hydrochlorothiazide,36, Valproic Acid, 500mg every 4-6 hours (up to 4g/day)
Valproic Acid,37, Quetiapine Fumarate, 10mg once/day
Alprazolam,41, Ibuprofen, 10-40mg once/day
Rosiglitazone,61, Thioridazine Hydrochloride, 2.5-20mg once/day
Paracetamol,50, Lisinopril, 80-120mg 2-3 times/day
Baclofen,60, Ibuprofen, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Losartan,75, Propranolol Hydrochloride, 0.5-2mg 2-3 times/day
Metformin,42, Azithromycin, 40-320mg 2-3 times/day
Glyburide,79, Lisinopril, 10-80mg once/day
Paracetamol,60, Cetirizine Hydrochloride, 0.2-0.3g before each meal
Lisinopril,30, Donepezil Hydrochloride, 10-30mg 2-3 times/day
Alprazolam,46, Doxycycline Hyclate, 5-40mg once/day
Alprazolam,64, Losartan Potassium, 325-650mg every 4-6 hours (up to 4g/day)
Fluphenazine,63, Amlodipine Besylate, 75-150mg 2-3 times/day
Fluoxetine,72, Verapamil Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Paracetamol,64, Acetaminophen, 2.5-10mg once/day
Lamotrigine,69, Azithromycin, 25-800mg/day
Voglibose,39, Venlafaxine Hydrochloride, 6.25-50mg 2-3 times/day
Paliperidone,74, Amlodipine Besylate, 5-10mg once/day
Paliperidone,31, Lamotrigine, 500mg every 4-6 hours (up to 4g/day)
Pregabalin,70, Miglitol, 37.5-225mg once/day
Verapamil,72, Valproic Acid, 8-32mg once/day
Ramipril,50, Amlodipine Besylate, 2.5-30mg once every 2-4 weeks
Ranitidine,91, Clonazepam, 25-800mg/day
Clonazepam,58, Pantoprazole Sodium, 5-10mg once/day
Quetiapine,69, Glimepiride, 75mg once/day
Isradipine,65, Venlafaxine Hydrochloride, 600-1800mg/day
Lamotrigine,63, Aripiprazole, 80-120mg 2-3 times/day
Aspirin,67, Alprazolam, 500mg every 4-6 hours (up to 4g/day)
Benazepril,75, Atorvastatin Calcium, 1-100mg/day
Aripiprazole,33, Ranitidine Hydrochloride, 4-8mg once/day
Quetiapine,72, Acarbose, 2.5-20mg once/day with meal
Aripiprazole,88, Irbesartan, 5-20mg once/day
Donepezil,86, Ziprasidone Hydrochloride, 5-10mg once/day
Lercanidipine,76, Glibenclamide, 2.5-20mg once/day
Nateglinide,51, Ibuprofen, 20mg once/day
Miglitol,37, Thioridazine Hydrochloride, 5-10mg once/day
Lithium Carbonate,69, Valsartan, 10mg once/day
Fluoxetine,67, Lisinopril Dihydrate, 75-300mg once/day
Furosemide,87, Donepezil Hydrochloride, 25-100mg once/day
Aripiprazole,56, Acetaminophen, 4-8mg once/day
Valproic Acid,53, Chlorpromazine Hydrochloride, 5-10mg once/day
Propranolol,34, Lisinopril Dihydrate, 5-40mg once/day
Ramipril,59, Metformin Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Paracetamol,20, Captopril, 10-40mg once/day
Verapamil,73, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,84, Trazodone Hydrochloride, 40-160mg once/day
Lisinopril,15, Venlafaxine Hydrochloride, 10-40mg once/day
Nateglinide,31, Hydrochlorothiazide, 37.5-225mg once/day
Candesartan,47, Voglibose, 12.5-25mg once/day
Ranitidine,42, Verapamil Hydrochloride, 25-100mg once/day
Donepezil,54, Felodipine, 5-10mg once/day
Rosiglitazone,67, Nifedipine, 500mg every 4-6 hours (up to 4g/day)
